time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,302,10,1271,220
2024-08-30 00:00:00+00:00,411,7,846,153
2024-08-31 00:00:00+00:00,94,2,291,84
2024-09-01 00:00:00+00:00,31,5,478,59
2024-09-02 00:00:00+00:00,181,8,955,179
2024-09-03 00:00:00+00:00,478,20,1366,217
2024-09-04 00:00:00+00:00,262,7,1308,199
2024-09-05 00:00:00+00:00,437,12,1347,216
2024-09-06 00:00:00+00:00,322,8,1319,209
2024-09-07 00:00:00+00:00,37,3,281,75
2024-09-08 00:00:00+00:00,27,5,310,87
2024-09-09 00:00:00+00:00,284,10,1427,177
2024-09-10 00:00:00+00:00,562,8,1494,189
2024-09-11 00:00:00+00:00,321,9,1569,202
2024-09-12 00:00:00+00:00,224,7,1561,168
2024-09-13 00:00:00+00:00,214,6,1090,176
2024-09-14 00:00:00+00:00,56,10,665,94
2024-09-15 00:00:00+00:00,108,4,525,91
2024-09-16 00:00:00+00:00,596,14,1272,186
2024-09-17 00:00:00+00:00,418,28,1235,190
2024-09-18 00:00:00+00:00,141,13,1371,216
2024-09-19 00:00:00+00:00,354,11,1602,219
2024-09-20 00:00:00+00:00,365,9,1043,223
2024-09-21 00:00:00+00:00,208,10,698,89
2024-09-22 00:00:00+00:00,21,3,532,83
2024-09-23 00:00:00+00:00,587,10,1097,191
2024-09-24 00:00:00+00:00,493,18,1475,262
2024-09-25 00:00:00+00:00,155,13,1318,220
2024-09-26 00:00:00+00:00,43,8,1019,231
2024-09-27 00:00:00+00:00,197,13,757,178
2024-09-28 00:00:00+00:00,51,3,381,100
2024-09-29 00:00:00+00:00,40,3,435,106
2024-09-30 00:00:00+00:00,495,10,791,202
2024-10-01 00:00:00+00:00,359,11,956,207
2024-10-02 00:00:00+00:00,689,9,834,232
2024-10-03 00:00:00+00:00,430,11,870,163
2024-10-04 00:00:00+00:00,579,15,874,193
2024-10-05 00:00:00+00:00,350,5,362,90
2024-10-06 00:00:00+00:00,92,6,319,85
2024-10-07 00:00:00+00:00,555,11,1272,210
2024-10-08 00:00:00+00:00,243,8,1205,211
2024-10-09 00:00:00+00:00,227,13,1070,286
2024-10-10 00:00:00+00:00,317,9,1022,201
2024-10-11 00:00:00+00:00,424,8,1078,227
2024-10-12 00:00:00+00:00,12,7,475,107
2024-10-13 00:00:00+00:00,11,4,205,81
2024-10-14 00:00:00+00:00,188,13,1198,204
2024-10-15 00:00:00+00:00,312,19,1358,248
2024-10-16 00:00:00+00:00,200,13,1157,263
2024-10-17 00:00:00+00:00,88,15,1000,210
2024-10-18 00:00:00+00:00,467,11,827,199
2024-10-19 00:00:00+00:00,115,3,310,77
2024-10-20 00:00:00+00:00,114,12,300,80
2024-10-21 00:00:00+00:00,1208,10,1283,198
2024-10-22 00:00:00+00:00,437,11,1008,245
2024-10-23 00:00:00+00:00,242,14,1110,254
2024-10-24 00:00:00+00:00,529,14,2012,231
2024-10-25 00:00:00+00:00,681,12,860,186
2024-10-26 00:00:00+00:00,820,4,807,130
2024-10-27 00:00:00+00:00,547,10,468,112
2024-10-28 00:00:00+00:00,373,12,865,245
2024-10-29 00:00:00+00:00,288,19,1003,214
2024-10-30 00:00:00+00:00,225,10,828,222
2024-10-31 00:00:00+00:00,103,14,498,173
