time_iso8601,forks_cumulative
2024-09-05 00:00:00+00:00,286
2024-09-07 00:00:00+00:00,287
2024-09-10 00:00:00+00:00,288
2024-09-20 00:00:00+00:00,289
2024-09-26 00:00:00+00:00,290
2024-09-30 00:00:00+00:00,291
2024-10-05 00:00:00+00:00,292
2024-10-14 00:00:00+00:00,293
2024-10-16 00:00:00+00:00,294
2024-10-21 00:00:00+00:00,295
2024-10-23 00:00:00+00:00,298
2024-10-25 00:00:00+00:00,299
2024-10-26 00:00:00+00:00,300
2024-10-27 00:00:00+00:00,301
2024-10-28 00:00:00+00:00,302
2024-11-01 00:00:00+00:00,303
2024-11-02 00:00:00+00:00,304
2024-11-06 00:00:00+00:00,305
2024-11-08 00:00:00+00:00,306
2024-11-12 00:00:00+00:00,307
2024-11-13 00:00:00+00:00,308
2024-11-15 00:00:00+00:00,309
2024-11-16 00:00:00+00:00,310
2024-11-21 00:00:00+00:00,311
2024-11-27 00:00:00+00:00,313
2024-12-01 00:00:00+00:00,314
2024-12-04 00:00:00+00:00,315
2024-12-07 00:00:00+00:00,316
2024-12-09 00:00:00+00:00,317
2024-12-13 00:00:00+00:00,318
2024-12-16 00:00:00+00:00,320
2024-12-18 00:00:00+00:00,321
2024-12-24 00:00:00+00:00,322
2024-12-26 00:00:00+00:00,323
2025-01-02 00:00:00+00:00,325
2025-01-08 00:00:00+00:00,326
2025-01-15 00:00:00+00:00,327
2025-01-18 00:00:00+00:00,328
2025-01-21 00:00:00+00:00,329
2025-01-23 00:00:00+00:00,330
2025-01-29 00:00:00+00:00,332
2025-02-02 00:00:00+00:00,333
2025-02-04 00:00:00+00:00,334
2025-02-06 00:00:00+00:00,335
2025-02-08 00:00:00+00:00,338
2025-02-13 00:00:00+00:00,339
2025-02-14 00:00:00+00:00,340
2025-02-19 00:00:00+00:00,341
2025-02-21 00:00:00+00:00,343
2025-02-27 00:00:00+00:00,344
2025-03-03 00:00:00+00:00,345
2025-03-06 00:00:00+00:00,346
